kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_mktadj_fwd,40,3,0.0027721994314522246,0.004499321296404975,0.6161372457813256,10120,67
rr_ret_mktadj_fwd,40,4,0.0097689064252195,0.01160888599384879,0.8415024861468842,14229,66
rr_ret_mktadj_fwd,40,5,9.70806883625438e-05,0.004104551710367541,0.023651958901463255,9866,67
rr_ret_mktadj_fwd,40,6,0.003811724310474247,0.004089294957333847,0.9321226153271732,12237,66
rr_ret_mktadj_fwd,40,7,0.002499823476034675,0.0035469368915014804,0.704783747921846,11876,67
rr_ret_mktadj_fwd,40,8,0.005162029886906344,0.003440652027281142,1.5003057112362106,11326,66
rr_ret_mktadj_fwd,40,9,0.008734305439807374,0.0033375355547977117,2.616992477354076,12175,66
rr_ret_mktadj_fwd,40,10,0.014516728321129737,0.0038216315146871907,3.798568298732999,11132,67
rr_ret_mktadj_fwd,60,1,0.009450639677541698,0.006436281606813901,1.4683384374506836,8880,65
rr_ret_mktadj_fwd,60,2,0.009410514178089325,0.006835335562390539,1.376745017445517,9719,66
rr_ret_mktadj_fwd,60,3,0.007441846127826776,0.005454315530851309,1.3643959697112085,9102,65
rr_ret_mktadj_fwd,60,4,0.003996129927235156,0.004879313223907614,0.8189943428216404,12790,65
rr_ret_mktadj_fwd,60,5,0.006332485846683812,0.004611700306744852,1.3731347280789739,8901,65
rr_ret_mktadj_fwd,60,6,0.00966335803291618,0.004461948752384623,2.165725912417022,11015,66
rr_ret_mktadj_fwd,60,7,0.007818383149979152,0.00413978127862884,1.8885981224033948,10741,66
rr_ret_mktadj_fwd,60,8,0.01297187071129568,0.003940166014772074,3.2922142525626703,10288,66
rr_ret_mktadj_fwd,60,9,0.01721610695895659,0.004239984446531939,4.060417479370323,11080,65
rr_ret_mktadj_fwd,60,10,0.026651440126066378,0.004884375912621167,5.456467848266835,10090,66
rr_ret_net_mktadj_fwd,1,1,-0.047738966916046725,0.0017154170074502614,-27.82936551795317,11350,67
rr_ret_net_mktadj_fwd,1,2,-0.042143702535290185,0.001508671168733307,-27.934319557968617,12003,67
rr_ret_net_mktadj_fwd,1,3,-0.040723041149548805,0.0013889350694454548,-29.31961475046336,11203,67
rr_ret_net_mktadj_fwd,1,4,-0.03752821960041847,0.0012981894310862953,-28.908122883896624,15497,67
rr_ret_net_mktadj_fwd,1,5,-0.03560447340839409,0.0010555093632834624,-33.73202990605051,10678,67
rr_ret_net_mktadj_fwd,1,6,-0.03521392109066134,0.0011006912667594936,-31.99255063986599,13315,67
rr_ret_net_mktadj_fwd,1,7,-0.03361097295437394,0.0010458880813402627,-32.13629981451061,12826,67
rr_ret_net_mktadj_fwd,1,8,-0.03382125672174965,0.00117813300289891,-28.707503005627697,12213,67
rr_ret_net_mktadj_fwd,1,9,-0.03239981396801782,0.0011013928539102902,-29.417127460913072,13110,67
rr_ret_net_mktadj_fwd,1,10,-0.03091028126415654,0.0010918161452641202,-28.310884939953937,12056,67
rr_ret_net_mktadj_fwd,5,1,-0.049885155952479214,0.0018944713811776567,-26.331965976424094,11287,67
rr_ret_net_mktadj_fwd,5,2,-0.0446721099110282,0.001649392501184008,-27.083977815444506,11917,67
rr_ret_net_mktadj_fwd,5,3,-0.04148487508053873,0.0013551752638542326,-30.612184406725557,11153,67
rr_ret_net_mktadj_fwd,5,4,-0.03895338789358636,0.0014976210849461068,-26.010175928437953,15460,67
rr_ret_net_mktadj_fwd,5,5,-0.03648404611108835,0.0014287326536400972,-25.53595035301742,10641,67
rr_ret_net_mktadj_fwd,5,6,-0.03532405119838672,0.0014288705443142018,-24.72165959257057,13267,67
rr_ret_net_mktadj_fwd,5,7,-0.03407023789066419,0.0012238032401040069,-27.839636940141357,12792,67
rr_ret_net_mktadj_fwd,5,8,-0.03311213418229619,0.0013996068519139095,-23.658168104147677,12155,67
rr_ret_net_mktadj_fwd,5,9,-0.03053703948297968,0.0011659177243321264,-26.191418867461024,13084,67
rr_ret_net_mktadj_fwd,5,10,-0.02769911322587365,0.0015395821371439547,-17.99131891544135,12035,67
rr_ret_net_mktadj_fwd,10,1,-0.0487244522144391,0.0024964656781740206,-19.517373156949397,11176,67
rr_ret_net_mktadj_fwd,10,2,-0.044509813515753324,0.0021877839742505674,-20.344702237340552,11830,67
rr_ret_net_mktadj_fwd,10,3,-0.040503264523390585,0.0018279142675390822,-22.158186104603285,11105,67
rr_ret_net_mktadj_fwd,10,4,-0.03830914442003341,0.0018702032196211717,-20.483947422458886,15360,67
rr_ret_net_mktadj_fwd,10,5,-0.03643557770792564,0.0018824662981225741,-19.3552350680932,10597,67
rr_ret_net_mktadj_fwd,10,6,-0.03468511221235931,0.0019653206794863886,-17.64857642541258,13203,67
rr_ret_net_mktadj_fwd,10,7,-0.03260951995957684,0.001613456661813148,-20.210967379149412,12723,67
rr_ret_net_mktadj_fwd,10,8,-0.03319090471789946,0.0017537302977041714,-18.92588886749009,12093,67
rr_ret_net_mktadj_fwd,10,9,-0.029591752580383775,0.0014911362794512554,-19.845102683219313,13009,67
rr_ret_net_mktadj_fwd,10,10,-0.026236035984161996,0.0019571705681900964,-13.405084058883997,11968,67
rr_ret_net_mktadj_fwd,20,1,-0.04658647661785121,0.0034343853465534898,-13.564720296923628,10877,67
rr_ret_net_mktadj_fwd,20,2,-0.042687535802941975,0.003039381447634505,-14.044810280777659,11587,67
rr_ret_net_mktadj_fwd,20,3,-0.037880080432974,0.0027496759473503167,-13.776198053256625,10878,67
rr_ret_net_mktadj_fwd,20,4,-0.03818215838555793,0.0026266209813680243,-14.536607548787451,15064,67
rr_ret_net_mktadj_fwd,20,5,-0.03400993063095523,0.002641264751122798,-12.876380762851456,10407,67
rr_ret_net_mktadj_fwd,20,6,-0.032862090567845316,0.002878701814353291,-11.41559379439509,13009,67
rr_ret_net_mktadj_fwd,20,7,-0.03271857532870545,0.002361235531321156,-13.856548783339198,12523,67
rr_ret_net_mktadj_fwd,20,8,-0.030822247128587762,0.0026057298348605494,-11.828642676702236,11923,67
rr_ret_net_mktadj_fwd,20,9,-0.0275132730694568,0.002293216124532903,-11.997679928690053,12818,67
rr_ret_net_mktadj_fwd,20,10,-0.023279531125658812,0.003033473892112761,-7.674215092533739,11753,67
rr_ret_net_mktadj_fwd,40,1,-0.03983039326905576,0.0046819622266964294,-8.507200900072169,10086,67
rr_ret_net_mktadj_fwd,40,2,-0.03744924163966721,0.004565515365382073,-8.202631826326842,10848,67
rr_ret_net_mktadj_fwd,40,3,-0.03470486197105472,0.00440505174199605,-7.8784232294463346,10120,67
rr_ret_net_mktadj_fwd,40,4,-0.026375333924587248,0.01066617142095889,-2.472802365876106,14229,66
rr_ret_net_mktadj_fwd,40,5,-0.03474405052071144,0.00398729625152227,-8.71368675137867,9866,67
rr_ret_net_mktadj_fwd,40,6,-0.030977743279385083,0.0039189241444395236,-7.904654986328003,12237,66
rr_ret_net_mktadj_fwd,40,7,-0.03188234646412852,0.003476922086542193,-9.169704028609852,11876,67
rr_ret_net_mktadj_fwd,40,8,-0.029311737870175818,0.0032976524284497035,-8.888668077113236,11326,66
rr_ret_net_mktadj_fwd,40,9,-0.025227748935683414,0.0030896680908829143,-8.165197100014145,12175,66
rr_ret_net_mktadj_fwd,40,10,-0.01933416692547408,0.003838471567259254,-5.036944155165141,11132,67
